"last_name, first_name","player_id","year","player_age","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","p_win","p_loss","p_era","p_hit_into_play","xslg","woba","xwoba","xiso","avg_swing_speed","fast_swing_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted"
"Rasmussen, Drew",656876,2025,29,585,541,116,84,14,0,18,127,37,21.7,6.3,".214",".340",".271","0.611","0.126",".247","10","5","2.76","416",".375",".269",".291",".139","72.1",27.1,"90.6",29.6,6.3,43.3,"80.436147524","94.708687282",22.2,48.6,49.5,23.1,"35.2","0.2","1.2","4.3","22.9","31.4",,"4.7",,,,"89.6","9.2"
"Elder, Bryce",693821,2025,26,679,616,167,109,32,2,24,131,51,19.3,7.5,".271",".446",".331","0.777","0.175",".308","8","11","5.30","491",".448",".336",".335",".182","72.6",32.1,"90",34,7.7,43.8,"78.82004177","94.988058103",22.5,46.3,48.9,25.1,"12.3","35.1","10.5",,"42.1",,,,,,,"54.4","35.1"
"Martinez, Nick",607259,2025,34,683,621,158,91,44,1,22,116,42,17,6.1,".254",".435",".304","0.739","0.181",".276","11","14","4.45","519",".410",".317",".312",".153","71.9",24.2,"88.3",37,6.9,34.5,"78.23181311","93.267375748",19.9,47.1,39.3,27.7,"20.7","10.4","19.8","11","17.1","21",,,,,,"58.8","21.4"
"Zeferjahn, Ryan",666171,2025,27,256,216,49,29,8,0,12,73,34,28.5,13.3,".227",".431",".341","0.772","0.204",".280","6","5","4.74","145",".403",".335",".321",".186","71.2",18.9,"88.3",38.6,10.3,37.2,"77.010090845","93.863811135",30.3,45.3,37.2,35.2,"31.5","16.8",,,"0.6","21.9",,"26.8","2.4",,,"53.9","46.1"
"Cameron, Noah",702070,2025,25,556,509,109,72,17,2,18,114,43,20.5,7.7,".214",".361",".279","0.640","0.147",".241","9","7","2.99","396",".411",".281",".313",".166","71.9",24.7,"87.9",32.6,6.3,37.4,"76.19833699","93.899827391",26.6,47.2,42.2,26.8,"26.4","14.1","18.6","19.3",,"21.6",,,,,,"48","33.4"
"Weaver, Luke",596133,2025,31,262,236,46,26,10,0,10,72,20,27.5,7.6,".195",".364",".258","0.622","0.169",".229","4","4","3.62","168",".359",".269",".269",".166","72",24.2,"90",35.7,8.3,39.9,"79.999123333","94.278156886",31,52.6,27.4,39.9,"59.2","1.5","29.8",,,"9.4",,,,,,"68.6","1.5"
"Burke, Sean",680732,2025,25,596,522,131,77,30,1,23,133,63,22.3,10.6,".251",".444",".337","0.781","0.193",".293","4","11","4.22","393",".457",".340",".342",".211","71.6",23.5,"89.6",39.4,10.4,42.7,"78.283710052","94.73809907",25.1,46.9,36.1,32.1,"43.1","21.9","6.5","23.7","4.8",,,,,,,"47.9","45.6"
"Ross, Joe",605452,2025,32,228,202,57,31,17,1,8,39,18,17.1,7.9,".282",".495",".344","0.839","0.213",".308","2","1","5.12","168",".520",".356",".373",".234","71.3",21.3,"89.3",38.1,11.9,43.5,"77.508137349","94.873628303",22.4,50.8,46.4,25,"35.6","22","8.2","5.5","28.7",,,,,,,"64.3","27.5"
"Cantillo, Joey",676282,2025,25,401,357,78,50,18,0,10,108,42,26.9,10.5,".218",".353",".299","0.652","0.135",".282","5","3","3.21","251",".370",".289",".300",".141","71.4",22.2,"89.5",34.3,7.2,41.8,"78.3463956","94.47711972",29.7,43.2,41.4,25.9,"42","8.7","30.5","18.8",,,,,,,,"42","27.5"
"Detmers, Reid",672282,2025,25,266,238,58,43,9,0,6,80,25,30.1,9.4,".244",".357",".320","0.677","0.113",".340","5","3","3.96","159",".363",".295",".296",".132","71",18.3,"90.1",32.7,8.2,42.8,"79.347347848","94.748538662",32.7,49.7,45.3,23.3,"45.4","31.2","0.1","21.1","2.1",,,,,,,"47.6","52.4"
"Zerpa, Angel",672582,2025,25,275,247,67,43,17,0,7,58,22,21.1,8,".271",".425",".333","0.758","0.154",".326","5","2","4.18","193",".400",".330",".311",".154","70.6",14.1,"89.5",30.6,8.3,43,"78.207393191","94.766879415",16.4,43.3,63.7,16.1,"20.5","31.9","3.6",,"43.9",,,,,,,"64.4","31.9"
"Thielbar, Caleb",573204,2025,38,220,204,38,23,9,1,5,56,13,25.5,5.9,".186",".314",".232","0.546","0.128",".226","3","4","2.64","151",".321",".236",".247",".122","71.5",22.3,"87.9",29.8,6.6,31.8,"77.406978933","93.279437133",26.9,49.7,39.7,30.5,"41.8","14.7",,"28.1",,,,"15.4",,,,"41.8","58.2"
"Domínguez, Seranthony",622554,2025,30,261,222,44,31,8,0,5,79,36,30.3,13.8,".198",".302",".314","0.616","0.104",".281","4","4","3.16","144",".297",".280",".282",".099","71.3",22.5,"87.5",34.7,6.9,36.8,"76.211899028","93.430835764",33.3,44.6,43.1,21.5,"43.2",,,"4.9","13.4",,"16.6","21.8",,,,"56.7","26.7"
"Sears, JP",676664,2025,29,583,534,143,76,36,1,30,117,36,20.1,6.2,".268",".507",".319","0.826","0.239",".289","9","11","5.04","424",".446",".352",".319",".205","71.7",24.8,"89.2",33.5,9.4,39.4,"78.488716143","94.093992714",21.6,47.3,30.2,36.6,"40.1","6.8","15","3.6","6.8","0.7",,"27",,,,"47.5","37.5"
"Eflin, Zach",621107,2025,31,309,289,88,51,19,0,18,50,13,16.2,4.2,".304",".557",".336","0.893","0.253",".313","6","5","5.93","244",".469",".378",".327",".203","72.3",27,"89.6",34,9.4,40.6,"78.828693833","94.433231088",20.5,50.1,42.2,29.5,"13.2",,"16.6","16.1","18.2","21.7",,"14.2",,,,"53.1","30.3"
"Spence, Mitch",687765,2025,27,375,342,96,60,20,0,16,66,26,17.6,6.9,".281",".480",".337","0.817","0.199",".305","3","6","5.10","278",".508",".350",".363",".224","72.1",27.9,"90.2",37.8,11.9,42.8,"79.322783986","94.752186945",25.7,50.8,43.9,25.2,,"26.8","1","17.6","9.4","45.2",,,,,,"54.6","44.3"
"Duran, Jhoan",661395,2025,27,287,263,58,47,8,0,3,80,19,27.9,6.6,".221",".285",".279","0.564","0.064",".302","7","6","2.06","185",".297",".248",".248",".087","71.6",22.9,"89.4",22.2,4.3,41.6,"77.695448478","94.76861306",30.8,53.2,65.4,15.1,"35.1",,,"19.1","39.9",,,"5.9",,,,"75","25"
"Bird, Jake",656234,2025,29,248,217,60,40,12,1,7,66,25,26.6,10.1,".276",".438",".355","0.793","0.162",".361","4","2","5.53","154",".374",".340",".305",".139","71.2",18.4,"88.5",34.4,8.4,42.9,"76.501208701","94.353653247",28.1,43.9,46.1,24,"0.6",,,"22.7","33.6","2.5",,"40.5",,,,"36.8","63.2"
"Gallen, Zac",668678,2025,29,813,737,176,104,37,4,31,175,66,21.5,8.1,".239",".426",".303","0.729","0.187",".271","13","15","4.83","568",".434",".315",".320",".192","72",27.8,"90.1",34.3,9.7,43,"79.464557057","94.701400977",23.7,44.9,44.4,30.3,"45","7.2","16","23.5","2.5","5.8",,,,,,"53.3","30.7"
